ItemCode,TextAr,PatternId,PatternKey,PatternNameAr,SubId,SubKey,SubNameAr,Type,Reverse,TimeLimitSeconds,Weight,CorrectAnswer,Options
I001,أفضل العمل في بيئة منظمة ومخططة مسبقًا,P1,personality_patterns,الأنماط الشخصية,P1_S1,mbti,نمط الشخصية MBTI,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I002,أستمد طاقتي من التفاعل مع الآخرين,P1,personality_patterns,الأنماط الشخصية,P1_S1,mbti,نمط الشخصية MBTI,MCQ,0,45,1,B,لا، نادراً|نعم، دائماً|أحياناً|لا أعلم
I003,أعتمد على الحقائق والتجارب الملموسة في اتخاذ قراراتي,P1,personality_patterns,الأنماط الشخصية,P1_S1,mbti,نمط الشخصية MBTI,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I004,أجد صعوبة في الالتزام بالخطط الصارمة,P1,personality_patterns,الأنماط الشخصية,P1_S1,mbti,نمط الشخصية MBTI,MCQ,1,45,1,A,نعم، غالباً|لا، أبداً|أحياناً|لا أعلم
I005,أشعر بالإرهاق من التفاعل الاجتماعي المستمر,P1,personality_patterns,الأنماط الشخصية,P1_S1,mbti,نمط الشخصية MBTI,MCQ,1,45,1,B,لا، أبداً|نعم، غالباً|أحياناً|لا أعلم
I006,أميل إلى اتخاذ قرارات بناءً على المنطق والتحليل الموضوعي,P1,personality_patterns,الأنماط الشخصية,P1_S1,mbti,نمط الشخصية MBTI,LikertAgreement,0,45,1,,
I007,أحب استكشاف الأفكار الجديدة والاحتمالات المختلفة,P1,personality_patterns,الأنماط الشخصية,P1_S1,mbti,نمط الشخصية MBTI,LikertAgreement,0,45,1,,
I008,أفضل الأفكار المجردة على الحقائق الملموسة,P1,personality_patterns,الأنماط الشخصية,P1_S1,mbti,نمط الشخصية MBTI,LikertAgreement,1,45,1,,
I009,أتخذ قراراتي بناءً على مشاعري أكثر من المنطق,P1,personality_patterns,الأنماط الشخصية,P1_S1,mbti,نمط الشخصية MBTI,LikertAgreement,1,45,1,,
I010,أفضل التركيز على الواقع الحالي بدلاً من الاحتمالات المستقبلية,P1,personality_patterns,الأنماط الشخصية,P1_S1,mbti,نمط الشخصية MBTI,LikertAgreement,1,45,1,,
I011,أحب تجربة أشياء جديدة وغير مألوفة,P1,personality_patterns,الأنماط الشخصية,P1_S2,big_five,السمات الخمس الكبرى,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I012,أنجز مهامي بدقة واهتمام بالتفاصيل,P1,personality_patterns,الأنماط الشخصية,P1_S2,big_five,السمات الخمس الكبرى,MCQ,0,45,1,B,لا، نادراً|نعم، دائماً|أحياناً|لا أعلم
I013,أشعر بالراحة عند التواصل مع أشخاص جدد,P1,personality_patterns,الأنماط الشخصية,P1_S2,big_five,السمات الخمس الكبرى,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
I014,أفضل الروتين على التجديد والتغيير,P1,personality_patterns,الأنماط الشخصية,P1_S2,big_five,السمات الخمس الكبرى,MCQ,1,45,1,A,نعم، غالباً|لا، أبداً|أحياناً|لا أعلم
I015,أجد صعوبة في إكمال المهام التي بدأتها,P1,personality_patterns,الأنماط الشخصية,P1_S2,big_five,السمات الخمس الكبرى,MCQ,1,45,1,B,لا، أبداً|نعم، غالباً|أحياناً|لا أعلم
I016,أتعاطف بسهولة مع مشاعر الآخرين,P1,personality_patterns,الأنماط الشخصية,P1_S2,big_five,السمات الخمس الكبرى,LikertAgreement,0,45,1,,
I017,أحافظ على هدوئي في المواقف الصعبة,P1,personality_patterns,الأنماط الشخصية,P1_S2,big_five,السمات الخمس الكبرى,LikertAgreement,0,45,1,,
I018,أفضل قضاء الوقت بمفردي على التجمعات الاجتماعية,P1,personality_patterns,الأنماط الشخصية,P1_S2,big_five,السمات الخمس الكبرى,LikertAgreement,1,45,1,,
I019,أركز على مصلحتي الشخصية أكثر من مصلحة الآخرين,P1,personality_patterns,الأنماط الشخصية,P1_S2,big_five,السمات الخمس الكبرى,LikertAgreement,1,45,1,,
I020,أشعر بالتوتر والقلق بسهولة في المواقف المختلفة,P1,personality_patterns,الأنماط الشخصية,P1_S2,big_five,السمات الخمس الكبرى,LikertAgreement,1,45,1,,
I021,أتعلم بشكل أفضل من خلال المشاهدة والرسوم التوضيحية,P1,personality_patterns,الأنماط الشخصية,P1_S3,learning_style,نمط التعلم,MCQ,0,45,1,A,نعم، دائماً|لا، نادراً|أحياناً|لا أعلم
