item_id,text_ar,type,dimension_tags,difficulty,time_limit_seconds,max_score,correct_answer,options
I001,ما هي هوايتك المفضلة؟,Text,الاهتمامات الشخصية,2,30,5,,
I002,كم عدد الكواكب في المجموعة الشمسية؟,MCQ,المعرفة العامة,2,30,1,8,7|8|9|10
I003,صف شخصيتك في ثلاث كلمات.,Text,التعبير الذاتي,3,60,5,,
I004,رتب الأحداث التالية حسب تسلسلها الزمني: الحرب العالمية الأولى، الثورة الفرنسية، سقوط القسطنطينية.,ORDERING,المعرفة التاريخية,4,90,5,3|1|2,
I005,إذا كان لديك 5 تفاحات وأعطيت صديقك تفاحتين، كم تبقى لديك؟,TIMED_NUMERIC,الحساب الذهني,1,20,1,3,
I006,كيف تتعامل مع الضغوط اليومية؟,LikertAgreement,الذكاء العاطفي,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I007,ما هي عاصمة الأردن؟,MCQ,المعرفة الجغرافية,1,20,1,عمان,عمان|إربد|الكرك|الزرقاء
I008,اشرح مفهوم العدالة كما تفهمه.,Text,التفكير النقدي,4,90,5,,
I009,"رتب الكلمات التالية لتكوين جملة مفيدة: ""الطالب-المكتبة-في-يقرأ""",ORDERING,اللغة,2,45,5,2|4|1|3,
I010,إذا سافرت بسرعة 60 كم/ساعة لمدة ساعتين، ما المسافة التي قطعتها؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,120,
I011,ما هو أكبر محيط في العالم؟,MCQ,المعرفة الجغرافية,2,30,1,المحيط الهادئ,المحيط الهادئ|المحيط الأطلسي|المحيط الهندي|المحيط المتجمد الشمالي
I012,كيف تقيم قدرتك على العمل ضمن فريق؟,LikertAgreement,القيادة,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I013,صف أهم إنجاز حققته في حياتك.,Text,التعبير الذاتي,3,60,5,,
I014,رتب الألوان حسب ترتيبها في قوس قزح: الأصفر، الأحمر، الأزرق، الأخضر.,ORDERING,المعرفة العلمية,2,45,5,2|1|4|3,
I015,إذا كان لديك 100 دينار وأنفقت 25 دينار، كم المبلغ المتبقي؟,TIMED_NUMERIC,الحساب الذهني,1,20,1,75,
I016,من هو مخترع الهاتف؟,MCQ,المعرفة التاريخية,2,30,1,جراهام بيل,جراهام بيل|توماس إديسون|ألكسندر فليمنغ|ألبرت أينشتاين
I017,اشرح فائدة القراءة في تطوير الشخصية.,Text,التفكير النقدي,3,60,5,,
I018,كيف تقيم قدرتك على التركيز في بيئة صاخبة؟,LikertAgreement,الانتباه,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I019,ما هو أطول نهر في العالم؟,MCQ,المعرفة الجغرافية,2,30,1,نهر النيل,نهر النيل|الأمازون|اليانغتسي|الدانوب
I020,صف كيفية حل مشكلة تواجهها في العمل.,Text,حل المشكلات,4,90,5,,
I021,إذا كان عمرك 20 عاماً الآن، فكم سيكون عمرك بعد 10 سنوات؟,TIMED_NUMERIC,الحساب الذهني,1,20,1,30,
I022,كم مرة تمارس الرياضة في الأسبوع؟,Frequency,الصحة الجسدية,1,20,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I023,ما هي العناصر الأربعة الأساسية في الطبيعة؟,MCQ,المعرفة العلمية,2,30,1,النار والماء والهواء والأرض,النار والماء والهواء والأرض|المعادن|الكواكب|الكائنات الحية
I024,اشرح كيف تتعامل مع النقد البناء.,Text,الذكاء العاطفي,3,60,5,,
I025,رتب الكواكب حسب قربها من الشمس: المريخ، الأرض، الزهرة، عطارد.,ORDERING,المعرفة العلمية,3,60,5,4|3|1|2,
I026,إذا سرت بسرعة 5 كم/ساعة لمدة 3 ساعات، ما المسافة التي قطعتها؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,15,
I027,كيف تقيم قدرتك على التخطيط للمستقبل؟,LikertAgreement,التنظيم,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I028,من هو مؤسس علم النفس التحليلي؟,MCQ,المعرفة النفسية,4,60,1,كارل يونغ,كارل يونغ|سيغموند فرويد|بياجيه|بافلوف
I029,اشرح مفهوم المسؤولية الاجتماعية.,Text,التفكير النقدي,4,90,5,,
I030,رتب مراحل نمو النبات: الإزهار، الإنبات، النمو، الإثمار.,ORDERING,المعرفة العلمية,3,60,5,2|3|1|4,
I031,إذا كان لديك 12 دفتر وقسمتها بالتساوي على 3 أصدقاء، كم حصل كل صديق؟,TIMED_NUMERIC,الحساب الذهني,1,20,1,4,
I032,كيف تقيم قدرتك على اتخاذ القرارات الصعبة؟,LikertAgreement,القيادة,4,60,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I033,ما هي السنة التي انتهت فيها الحرب العالمية الثانية؟,MCQ,المعرفة التاريخية,3,45,1,1945,1945|1940|1939|1950
I034,اشرح مفهوم الابتكار في بيئة العمل.,Text,الإبداع,4,90,5,,
I035,رتب الوحدات التالية حسب حجمها من الأصغر للأكبر: القرية، المدينة، الحي، الدولة.,ORDERING,المعرفة الجغرافية,2,45,5,3|1|2|4,
I036,إذا كان لديك 24 تفاحة وأعطيت ثلثها، كم تبقى لديك؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,16,
I037,ما هو الغاز الأكثر وفرة في الغلاف الجوي للأرض؟,MCQ,المعرفة العلمية,3,45,1,النيتروجين,النيتروجين|الأكسجين|ثاني أكسيد الكربون|الهيدروجين
I038,صف كيف تتعامل مع الفشل.,Text,الصحة النفسية,4,90,5,,
I039,رتب مراحل نمو الإنسان: الطفولة، المراهقة، الشيخوخة، الرشد.,ORDERING,المعرفة البيولوجية,2,45,5,1|2|4|3,
I040,إذا كان لديك 100 ريال وزدتها بنسبة 25%، كم تصبح؟,TIMED_NUMERIC,الحساب الذهني,3,45,1,125,
I041,كيف تقيم قدرتك على حل المشكلات المعقدة؟,LikertAgreement,حل المشكلات,4,60,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I042,من هو مخترع المصباح الكهربائي؟,MCQ,المعرفة التاريخية,2,30,1,توماس إديسون,توماس إديسون|نيكولا تسلا|بنجامين فرانكلين|فاراداي
I043,اشرح أهمية العمل الجماعي في إنجاز المشاريع.,Text,القيادة,3,60,5,,
I044,رتب مراحل تطور الكتابة: الطباعة، الكتابة اليدوية، الطباعة الرقمية.,ORDERING,المعرفة التاريخية,3,60,5,2|1|3,
I045,إذا كان لديك 50 ديناراً وأنفقت 10 دنانير، ثم أنفقت نصف المتبقي، كم المبلغ المتبقي؟,TIMED_NUMERIC,الحساب الذهني,3,45,1,20,
I046,كيف تقيم قدرتك على الإصغاء للآخرين؟,LikertAgreement,الذكاء العاطفي,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I047,ما هو أعلى جبل في العالم؟,MCQ,المعرفة الجغرافية,2,30,1,جبل إيفرست,جبل إيفرست|جبل كليمنجارو|جبل كي 2|جبل ماكينلي
I048,اشرح مفهوم النزاهة في العمل.,Text,الأخلاق,4,90,5,,
I049,رتب مراحل تطور الإنترنت: الويب 1.0، الويب 2.0، الويب 3.0.,ORDERING,المعرفة التكنولوجية,4,90,5,1|2|3,
I050,إذا كان لديك 80 ريالاً وأنفقت ربعها، ثم أنفقت 10 ريال من المتبقي، كم المبلغ المتبقي؟,TIMED_NUMERIC,الحساب الذهني,3,45,1,50,
I051,كم مرة تزور المكتبة في الشهر؟,Frequency,التعلم الذاتي,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I052,ما هي السرعة التي تدور بها الأرض حول الشمس؟,MCQ,المعرفة العلمية,5,90,1,30 كم/ثانية,10 كم/ثانية|15 كم/ثانية|20 كم/ثانية|30 كم/ثانية
I053,صف كيف تتعامل مع المواقف الطارئة.,Text,حل المشكلات,4,90,5,,
I054,رتب مراحل تطور الاتصالات: التلغراف، الهاتف، الإنترنت.,ORDERING,المعرفة التكنولوجية,3,60,5,1|2|3,
I055,إذا كان لديك 60 تفاحة وأعطيت 15 صديقاً كل منهم 3 تفاحات، كم تبقى لديك؟,TIMED_NUMERIC,الحساب الذهني,3,45,1,15,
I056,كيف تقيم قدرتك على التكيف مع بيئات جديدة؟,LikertAgreement,المرونة,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I057,من هو مؤسس نظرية النسبية؟,MCQ,المعرفة العلمية,5,90,1,ألبرت أينشتاين,ألبرت أينشتاين|إسحاق نيوتن|ماكس بلانك|غاليلو
I058,اشرح مفهوم المسؤولية في القيادة.,Text,القيادة,4,90,5,,
I059,رتب مراحل تطور الحاسوب: الآلة الحاسبة، الحاسوب الشخصي، الحاسوب اللوحي.,ORDERING,المعرفة التكنولوجية,3,60,5,1|2|3,
I060,إذا كان لديك 100 ريال واستثمرتها بمعدل 10% سنوياً لمدة عامين، كم تصبح؟,TIMED_NUMERIC,الحساب الذهني,4,60,1,121,
I061,كم مرة تشارك في الأنشطة التطوعية في السنة؟,Frequency,المسؤولية الاجتماعية,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I062,ما هو عدد العظام في جسم الإنسان البالغ؟,MCQ,المعرفة البيولوجية,3,45,1,206,200|206|210|220
I063,صف كيف تتعامل مع الاختلافات الثقافية.,Text,الذكاء العاطفي,4,90,5,,
I064,رتب مراحل تطور الطباعة: الطباعة الحجرية، الطباعة بالحروف المتحركة، الطباعة الرقمية.,ORDERING,المعرفة التاريخية,4,90,5,1|2|3,
I065,إذا كان لديك 50 صندوقاً وكل صندوق يحتوي على 24 عنبراً، كم عدد العنابر لديك؟,TIMED_NUMERIC,الحساب الذهني,3,45,1,1200,
I066,كيف تقيم قدرتك على التفكير الإبداعي؟,LikertAgreement,الإبداع,4,60,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I067,ما هي السنة التي هبط فيها الإنسان على القمر؟,MCQ,المعرفة التاريخية,3,45,1,1969,1965|1967|1969|1971
I068,اشرح مفهوم التعلم المستمر.,Text,التعلم الذاتي,4,90,5,,
I069,رتب مراحل تطور الطاقة: الفحم، النفط، الطاقة النووية، الطاقة المتجددة.,ORDERING,المعرفة العلمية,4,90,5,1|2|3|4,
I070,إذا كان لديك 100 ريال واستثمرتها بمعدل 5% ربع سنوياً لمدة عام، كم تصبح؟,TIMED_NUMERIC,الحساب الذهني,5,90,1,105.08,
I071,كم مرة تحضر ندوات أو مؤتمرات في السنة؟,Frequency,التعلم الذاتي,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I072,ما هو عدد الكروموسومات في خلية الإنسان؟,MCQ,المعرفة البيولوجية,4,60,1,46,44|45|46|48
I073,صف كيف تتعامل مع الأزمات.,Text,حل المشكلات,5,120,5,,
I074,رتب مراحل تطور الاتصالات: الإشارات الدخانية، التلغراف، الإنترنت، الأقمار الصناعية.,ORDERING,المعرفة التكنولوجية,5,90,5,1|2|3|4,
I075,إذا كان لديك 1000 ريال واستثمرتها بمعدل 8% سنوياً لمدة 3 سنوات، كم تصبح؟,TIMED_NUMERIC,الحساب الذهني,5,90,1,1259.71,
I076,كيف تقيم قدرتك على التخطيط الاستراتيجي؟,LikertAgreement,القيادة,5,90,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I077,ما هي السرعة التي تدور بها الأرض حول محورها؟,MCQ,المعرفة العلمية,5,90,1,1670 كم/ساعة,1600 كم/ساعة|1650 كم/ساعة|1670 كم/ساعة|1700 كم/ساعة
I078,اشرح مفهوم الاستدامة في الأعمال.,Text,المسؤولية الاجتماعية,5,120,5,,
I079,رتب مراحل تطور الذكاء الاصطناعي: الذكاء الاصطناعي الضيق، الذكاء الاصطناعي العام، الذكاء الاصطناعي الخارق.,ORDERING,المعرفة التكنولوجية,5,90,5,1|2|3,
I080,إذا كان لديك 5000 ريال واستثمرتها بمعدل 6% سنوياً لمدة 5 سنوات، كم تصبح؟,TIMED_NUMERIC,الحساب الذهني,5,120,1,6691.13,
I081,أي من السمات التالية تعتقد أنها الأقوى لديك؟,MCQ,الوعي الذاتي,3,30,1,القيادة,القيادة|الانتباه|المرونة|الذكاء العاطفي
I082,ما هو العامل الأكثر تأثيراً في تحفيزك؟,MCQ,الدافعية,3,30,1,الإنجاز,المال|الإنجاز|المكانة|العلاقات
I083,أي من هذه الأنشطة يصفك أكثر؟,MCQ,الاهتمامات الشخصية,3,30,1,القراءة,القراءة|الرياضة|الفن|السفر
I084,ما هي المهارة التي تفضل تطويرها؟,MCQ,التعلم الذاتي,3,30,1,التواصل,التواصل|القيادة|الإبداع|إدارة الوقت
I085,أي من هذه القيم تمثل أولويتك العليا؟,MCQ,الأخلاق,3,30,1,النزاهة,الصدق|النزاهة|الشهرة|المال
I086,ما هو أسلوبك المفضل في العمل؟,MCQ,القيادة,3,30,1,العمل الجماعي,العمل الجماعي|العمل الفردي|التخطيط|التجربة
I087,أي من هذه الصفات تراها الأهم في القائد؟,MCQ,القيادة,3,30,1,العدل,العدل|الحزم|الرحمة|الشجاعة
I088,ما هو العامل الأهم لنجاح الفريق؟,MCQ,التعاون,3,30,1,التواصل,التواصل|القيادة|الإبداع|الموارد
I089,أي من هذه الأنشطة يقلل من توترك أكثر؟,MCQ,الصحة النفسية,3,30,1,الرياضة,الرياضة|التأمل|النوم|التسوق
I090,أي من هذه المجالات ترغب في استكشافها أكثر؟,MCQ,التطوير الشخصي,3,30,1,التكنولوجيا,التكنولوجيا|الأدب|التاريخ|العلوم
I091,صف موقفاً أظهرت فيه قيادة قوية.,Text,القيادة,4,90,5,,
I092,اشرح كيف تواجه ضغوط العمل.,Text,الصحة النفسية,4,90,5,,
I093,صف طريقة ابتكرت بها حلاً لمشكلة.,Text,الإبداع,4,90,5,,
I094,اشرح كيف تبني الثقة مع فريقك.,Text,التعاون,4,90,5,,
I095,صف موقفاً تعلمت فيه من خطأ.,Text,التعلم الذاتي,4,90,5,,
I096,اشرح كيف تحافظ على توازنك بين حياتك الشخصية والعملية.,Text,الصحة النفسية,4,90,5,,
I097,صف كيف تلهم الآخرين من حولك.,Text,القيادة,4,90,5,,
I098,اشرح موقفاً طبقت فيه مهارة الإصغاء الفعّال.,Text,الذكاء العاطفي,4,90,5,,
I099,صف هدفاً شخصياً تعمل لتحقيقه حالياً.,Text,الطموح,4,90,5,,
I100,اشرح كيف تحفّز نفسك في الأوقات الصعبة.,Text,الدافعية,4,90,5,,
I101,كم مرة تخصص وقتاً للتأمل أو الراحة الذهنية؟,Frequency,الصحة النفسية,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I102,ما هو أكبر محيط على سطح الأرض؟,MCQ,المعرفة الجغرافية,2,30,1,المحيط الهادئ,المحيط الأطلسي|المحيط الهادئ|المحيط الهندي|المحيط المتجمد الشمالي
I103,اشرح كيف توازن بين الأهداف طويلة الأمد والقصيرة الأمد.,Text,التخطيط,4,90,5,,
I104,رتب مراحل دورة الماء: التبخر، التكاثف، الهطول.,ORDERING,المعرفة العلمية,3,60,5,1|2|3,
I105,إذا كان لديك 200 ريال وصرفت 35 ريال، كم يتبقى لديك؟,TIMED_NUMERIC,الحساب الذهني,1,20,1,165,
I106,كيف تقيم قدرتك على العمل تحت الضغط؟,LikertAgreement,الذكاء العاطفي,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I107,ما هي عاصمة اليابان؟,MCQ,المعرفة الجغرافية,1,20,1,طوكيو,طوكيو|أوساكا|كيوتو|هيروشيما
I108,اشرح مفهوم العدالة الاجتماعية.,Text,التفكير النقدي,4,90,5,,
I109,"رتب الكلمات التالية لتكوين جملة مفيدة: ""الطالب-المعلم-يستمع-إلى""",ORDERING,اللغة,2,45,5,1|4|2|3,
I110,إذا قرأت 15 صفحة يومياً لمدة 20 يوماً، كم عدد الصفحات التي قرأتها؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,300,
I111,كيف تقيم قدرتك على التحكم في انفعالاتك؟,LikertAgreement,الذكاء العاطفي,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I112,كيف تقيم استعدادك لتعلم مهارات جديدة؟,LikertAgreement,التعلم الذاتي,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I113,كيف تقيم مرونتك عند مواجهة تحديات جديدة؟,LikertAgreement,المرونة,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I114,كيف تقيم ميلك إلى تحمل المسؤولية؟,LikertAgreement,المسؤولية,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I115,كيف تقيم مستوى طموحك في الحياة المهنية؟,LikertAgreement,الطموح,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I116,كيف تقيم إبداعك في تقديم أفكار جديدة؟,LikertAgreement,الإبداع,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I117,كيف تقيم التزامك بمواعيدك؟,LikertAgreement,التنظيم,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I118,كيف تقيم رغبتك في التعاون مع الآخرين؟,LikertAgreement,التعاون,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I119,كيف تقيم ثقتك بنفسك في المواقف الصعبة؟,LikertAgreement,الثقة بالنفس,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I120,كيف تقيم اهتمامك بالتفاصيل الدقيقة؟,LikertAgreement,الانتباه,3,45,5,,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة
I121,كم مرة تعبر عن مشاعرك للآخرين؟,Frequency,الذكاء العاطفي,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I122,كم مرة تضع أهدافاً طويلة الأمد لنفسك؟,Frequency,التخطيط,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I123,كم مرة تحاول حل المشكلات بطرق مبتكرة؟,Frequency,الإبداع,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I124,كم مرة تبادر بالمساعدة في بيئة العمل؟,Frequency,التعاون,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I125,كم مرة تشعر بالثقة عند مواجهة جمهور؟,Frequency,الثقة بالنفس,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I126,كم مرة تمارس هوايات جديدة؟,Frequency,الاهتمامات الشخصية,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I127,كم مرة تستشير الآخرين قبل اتخاذ قرار؟,Frequency,القيادة,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I128,كم مرة تحافظ على هدوئك في المواقف الصعبة؟,Frequency,الذكاء العاطفي,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I129,كم مرة تخصص وقتاً للتعلم الذاتي؟,Frequency,التعلم الذاتي,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I130,كم مرة تحافظ على التوازن بين عملك وحياتك الشخصية؟,Frequency,الصحة النفسية,2,30,5,,أبدًا|نادرًا|أحيانًا|غالبًا|دائمًا
I131,أي من السمات التالية تعتقد أنها الأقوى لديك؟,MCQ,الوعي الذاتي,3,30,1,القيادة,القيادة|المرونة|التعاون|الإبداع
I132,ما هو العامل الأكثر تأثيراً في تحفيزك؟,MCQ,الدافعية,3,30,1,الإنجاز,الإنجاز|المال|العلاقات|الراحة
I133,أي من هذه الأنشطة يصفك أكثر؟,MCQ,الاهتمامات الشخصية,3,30,1,القراءة,القراءة|السفر|الرسم|الموسيقى
I134,ما هي المهارة التي تفضل تطويرها؟,MCQ,التعلم الذاتي,3,30,1,التواصل,التواصل|إدارة الوقت|القيادة|حل المشكلات
