item_code,text_ar,type,dimension,sub_dimension,anchors_ar,reverse,time_limit_seconds,max_score,difficulty
I001,أستطيع تحديد نقاط قوتي بوضوح.,LikertAgreement,التميز الذاتي,الوعي الذاتي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I002,أدرك تأثير سلوكياتي على الآخرين.,LikertAgreement,التميز الذاتي,الوعي الذاتي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I003,أراجع أدائي باستمرار لتحسين نفسي.,LikertAgreement,التميز الذاتي,الوعي الذاتي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I004,أعرف ما يحفزني لتحقيق أهدافي.,LikertAgreement,التميز الذاتي,الوعي الذاتي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I005,أستطيع وصف شخصيتي بدقة.,LikertAgreement,التميز الذاتي,الوعي الذاتي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I006,أثق بقدرتي على تحقيق أهدافي.,LikertAgreement,التميز الذاتي,الثقة بالنفس,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I007,أشعر بالراحة عند التحدث أمام الجمهور.,LikertAgreement,التميز الذاتي,الثقة بالنفس,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I008,أتخذ قراراتي بثقة دون تردد مفرط.,LikertAgreement,التميز الذاتي,الثقة بالنفس,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I009,أؤمن بقدراتي حتى في المواقف الصعبة.,LikertAgreement,التميز الذاتي,الثقة بالنفس,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I010,أشعر بالخوف من الفشل المستمر.,LikertAgreement,التميز الذاتي,الثقة بالنفس,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
I011,أنظم وقتي بفعالية لإنجاز مهامي.,LikertAgreement,التميز الذاتي,التنظيم الذاتي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I012,أحافظ على التزامي بالمواعيد والخطط.,LikertAgreement,التميز الذاتي,التنظيم الذاتي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I013,أستطيع التركيز على مهمة واحدة دون تشتت.,LikertAgreement,التميز الذاتي,التنظيم الذاتي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
I014,أضع أهدافاً واضحة وأتابع تحقيقها.,LikertAgreement,التميز الذاتي,التنظيم الذاتي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I015,أعاني من الفوضى في ترتيب أولوياتي.,LikertAgreement,التميز الذاتي,التنظيم الذاتي,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,1,45,5,2
I016,أبحث باستمرار عن فرص لتعلم مهارات جديدة.,LikertAgreement,التميز الذاتي,التعلم المستمر,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I017,أقرأ بانتظام لتطوير معرفتي.,LikertAgreement,التميز الذاتي,التعلم المستمر,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I018,أستفيد من أخطائي لتحسين أدائي.,LikertAgreement,التميز الذاتي,التعلم المستمر,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,2
I019,أسعى لحضور الدورات التدريبية والندوات.,LikertAgreement,التميز الذاتي,التعلم المستمر,لا أوافق بشدة|لا أوافق|محايد|أوافق|أوافق بشدة,0,45,5,3
