item_id,text_ar,type,dimension_tags,difficulty,time_limit_seconds,max_score,correct_answer
I001,ما هي هوايتك المفضلة؟,LIKERT,الاهتمامات الشخصية,2,30,5,
I002,كم عدد الكواكب في المجموعة الشمسية؟,MCQ,المعرفة العامة,2,30,1,8
I003,صف شخصيتك في ثلاث كلمات.,TEXT,التعبير الذاتي,3,60,5,
I004,رتب الأحداث التالية حسب تسلسلها الزمني: الحرب العالمية الأولى، الثورة الفرنسية، سقوط القسطنطينية.,ORDERING,المعرفة التاريخية,4,90,5,3,1,2
I005,إذا كان لديك 5 تفاحات وأعطيت صديقك تفاحتين، كم تبقى لديك؟,TIMED_NUMERIC,الحساب الذهني,1,20,1,3
I006,كيف تتعامل مع الضغوط اليومية؟,LIKERT,الذكاء العاطفي,3,45,5,
I007,ما هو عاصمة الأردن؟,MCQ,المعرفة الجغرافية,1,20,1,عمان
I008,اشرح مفهوم العدالة كما تفهمه.,TEXT,التفكير النقدي,4,90,5,
I009,رتب الكلمات التالية لتكوين جملة مفيدة: "الطالب-المكتبة-في-يقرأ",ORDERING,اللغة,2,45,5,2,4,1,3
I010,إذا سافرت بسرعة 60 كم/ساعة لمدة ساعتين، ما المسافة التي قطعتها؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,120
I011,كم مرة تذهب إلى السينما في الشهر؟,LIKERT,الاهتمامات الشخصية,1,20,5,
I012,ما هو أكبر محيط في العالم؟,MCQ,المعرفة الجغرافية,2,30,1,المحيط الهادئ
I013,صف أهم إنجاز حققته في حياتك.,TEXT,التعبير الذاتي,3,60,5,
I014,رتب الألوان حسب ترتيبها في قوس قزح: الأصفر، الأحمر، الأزرق، الأخضر.,ORDERING,المعرفة العلمية,2,45,5,2,1,4,3
I015,إذا كان لديك 100 دينار وأنفقت 25 دينار، كم المبلغ المتبقي؟,TIMED_NUMERIC,الحساب الذهني,1,20,1,75
I016,كيف تقيم قدرتك على العمل ضمن فريق؟,LIKERT,القيادة,3,45,5,
I017,من هو مخترع الهاتف؟,MCQ,المعرفة التاريخية,2,30,1,جراهام بل
I018,اشرح فائدة القراءة في تطوير الشخصية.,TEXT,التفكير النقدي,3,60,5,
I019,رتب الخطوات التالية لصنع كوب الشاي: غلي الماء، إضافة الشاي، سكب الماء الساخن، التحلية.,ORDERING,المنطق,1,30,5,1,2,3,4
I020,إذا كان طول المستطيل 10 سم وعرضه 5 سم، ما مساحته؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,50
I021,كم ساعة تنام يومياً؟,LIKERT,الصحة النفسية,1,20,5,
I022,ما هي غازات التمثيل الضوئي؟,MCQ,المعرفة العلمية,3,45,1,ثاني أكسيد الكربون والماء
I023,صف كيفية حل مشكلة تواجهها في العمل.,TEXT,حل المشكلات,4,90,5,
I024,رتب مراحل نمو النبات: الإزهار، الإنبات، النمو، الإثمار.,ORDERING,المعرفة العلمية,3,60,5,2,3,1,4
I025,إذا كان عمرك 20 عاماً الآن، فكم سيكون عمرك بعد 10 سنوات؟,TIMED_NUMERIC,الحساب الذهني,1,20,1,30
I026,كيف تقيم قدرتك على التركيز في بيئة صاخبة؟,LIKERT,الانتباه,3,45,5,
I027,ما هو أطول نهر في العالم؟,MCQ,المعرفة الجغرافية,2,30,1,نهر النيل
I028,اشرح أهمية الأخلاق في الحياة المهنية.,TEXT,التفكير النقدي,4,90,5,
I029,رتب الأحداث التالية حسب ترتيبها في اليوم: الفجر، الظهر، العصر، المغرب.,ORDERING,المعرفة الدينية,1,30,5,1,2,3,4
I030,إذا كان لديك 12 دفتر وقسمتها بالتساوي على 3 أصدقاء، كم حصل كل صديق؟,TIMED_NUMERIC,الحساب الذهني,1,20,1,4
I031,كم مرة تمارس الرياضة في الأسبوع؟,LIKERT,الصحة الجسدية,1,20,5,
I032,ما هي العناصر الأربعة الأساسية في الطبيعة؟,MCQ,المعرفة العلمية,2,30,1,النار والماء والهواء والأرض
I033,صف كيف تتعامل مع النقد البناء.,TEXT,الذكاء العاطفي,3,60,5,
I034,رتب الكواكب حسب قربها من الشمس: المريخ، الأرض، الزهرة، عطارد.,ORDERING,المعرفة العلمية,3,60,5,4,3,1,2
I035,إذا سرت بسرعة 5 كم/ساعة لمدة 3 ساعات، ما المسافة التي قطعتها؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,15
I036,كيف تقيم قدرتك على التخطيط للمستقبل؟,LIKERT,التنظيم,3,45,5,
I037,من هو مؤسس علم النفس التحليلي؟,MCQ,المعرفة النفسية,4,60,1,كارل يونغ
I038,اشرح مفهوم المسؤولية الاجتماعية.,TEXT,التفكير النقدي,4,90,5,
I039,رتب مراحل تطور الكمبيوتر: الحاسوب الشخصي، الحاسوب الرئيسي، الحاسوب المحمول.,ORDERING,المعرفة التكنولوجية,3,60,5,2,1,3
I040,إذا كان لديك 60 ريالاً وأنفقت ثلثها، كم المبلغ المتبقي؟,TIMED_NUMERIC,الحساب الذهني,2,30,1,40
I041,كم ساعة تقضي على وسائل التواصل الاجتماعي يومياً؟,LIKERT,السلوك الرقمي,2,30,5,
I042,ما هو العضو الأكبر في جسم الإنسان؟,MCQ,المعرفة البيولوجية,2,30,1,الجلد
I043,صف كيف تتعامل مع الأشخاص صعبي المراس.,TEXT,الذكاء العاطفي,4,90,5,
